flare_date,flare_longitude,flare_magnitude,flare_class,cme_date,cme_speed,cme_width,peak_flux_10,peak_flux_30,peak_flux_100
2012-01-19 13:44:00,-22.0,3.2000000000000005e-05,M3.2,2012-01-19 14:44:00,1120.0,360.0,3.35,,
2012-01-23 03:38:00,25.0,8.7e-05,M8.7,2012-01-23 04:38:00,2175.0,360.0,3806.43,204.33,0.84
2012-01-27 17:37:00,71.0,0.00017,X1.7,2012-01-27 18:37:00,2508.0,360.0,535.77,83.95,4.43
,,,,2012-01-27 17:37:00,461.0,94.0,4.02,,
2012-03-04 10:29:00,-61.0,2e-05,M2,2012-03-04 11:29:00,1306.0,360.0,3.76,,
2012-03-07 00:02:00,-27.0,0.0005,X5,2012-03-07 01:02:00,2864.0,360.0,4200.59,431.01,23.14
2012-03-13 17:12:00,59.0,7.900000000000001e-05,M7.9,2012-03-13 18:12:00,1884.0,360.0,297.34,34.57,0.81
2012-05-17 01:25:00,76.0,5.1e-05,M5.1,2012-05-17 02:25:00,1582.0,360.0,215.65,98.86,9.48
,,,,2012-05-17 01:25:00,1966.0,360.0,10.24,,
2012-06-14 12:52:00,-5.0,1e-05,M1,2012-06-14 13:52:00,987.0,360.0,10.17,,
2012-07-06 23:01:00,51.0,0.0001,X1,2012-07-07 00:01:00,1828.0,360.0,15.91,5.05,0.59
2012-07-12 15:37:00,1.0,0.00014,X1.4,2012-07-12 16:37:00,885.0,360.0,58.61,2.98,
2012-07-17 12:03:00,65.0,1e-05,M1,2012-07-17 13:03:00,958.0,176.0,82.25,4.53,
,,,,2012-07-17 12:03:00,2008.0,360.0,11.53,4.96,0.5
2012-08-31 19:45:00,-42.0,8.4e-06,C8.4,2012-08-31 20:45:00,1442.0,360.0,34.44,1.73,
2012-09-27 23:36:00,36.0,3e-06,C3,2012-09-28 00:36:00,947.0,360.0,19.6,2.81,
,,,,2012-09-27 23:36:00,763.0,149.0,6.01,,
2013-01-16 18:21:00,76.0,2.2e-06,C2.2,2013-01-16 19:21:00,648.0,250.0,2.71,,
2013-03-15 05:46:00,-12.0,1.1000000000000001e-05,M1.1,2013-03-15 06:46:00,1063.0,360.0,10.42,1.46,
